"num","name","round","level","event"
"2"," AXTELIUS Peter",6,"final","women's 3m springboard"
"3"," WRIGHT Lisa",6,"final","women's 3m springboard"
"4"," PRANARTA Pranarta",6,"final","women's 3m springboard"
"5"," SCHLEPPS Holger",6,"final","women's 3m springboard"
"6"," DAW Yehia Zakaria Yehia",6,"final","women's 3m springboard"
"7"," ZAMPIERI Marco",6,"final","women's 3m springboard"
"1"," REIS Violeta",7,"final","women's 3m springboard"
"2"," AXTELIUS Peter",7,"final","women's 3m springboard"
"3"," WRIGHT Lisa",7,"final","women's 3m springboard"
"4"," PRANARTA Pranarta",7,"final","women's 3m springboard"
"5"," SCHLEPPS Holger",7,"final","women's 3m springboard"
"6"," DAW Yehia Zakaria Yehia",7,"final","women's 3m springboard"
"7"," ZAMPIERI Marco",7,"final","women's 3m springboard"
"1"," PEREZ CANASVERAS Angel Luis",1,"final"," men's 10m platform"
"2"," WRIGHT Lisa",1,"final"," men's 10m platform"
"3"," RAO Lang",1,"final"," men's 10m platform"
"4"," AXTELIUS Peter",1,"final"," men's 10m platform"
"5"," PRANARTA Pranarta",1,"final"," men's 10m platform"
"6"," SZEKFFY Nora",1,"final"," men's 10m platform"
"7"," GOLOVAN Anatoliy",1,"final"," men's 10m platform"
"1"," PEREZ CANASVERAS Angel Luis",2,"final"," men's 10m platform"
"2"," WRIGHT Lisa",2,"final"," men's 10m platform"
"3"," RAO Lang",2,"final"," men's 10m platform"
"4"," AXTELIUS Peter",2,"final"," men's 10m platform"
"5"," PRANARTA Pranarta",2,"final"," men's 10m platform"
"6"," SZEKFFY Nora",2,"final"," men's 10m platform"
"7"," GOLOVAN Anatoliy",2,"final"," men's 10m platform"
