"Rank","Name","NAT","Dive No.","DD","J1","J2","J3","J4","J5","J6","J7","Dive Points","Dive Rank","Total Points","Overall Rank","Points Behind","level","event"
"24","OCAMPO MARROQUIN Jahir","MEX","5154B","3.4","5.5","6.5","7.0","6.5","6.5","7.0","6.0","66.30","=19","131.40","18","19.90","preliminary"," men's 3m springboard"
"24","OCAMPO MARROQUIN Jahir","MEX","407C","3.4","6.0","5.5","6.0","6.5","6.5","6.5","6.0","62.90","=24","194.30","18","44.50","preliminary"," men's 3m springboard"
"24","OCAMPO MARROQUIN Jahir","MEX","205B","3.0","7.5","7.5","7.0","7.0","6.5","7.0","7.0","63.00","=19","257.30","20","63.40","preliminary"," men's 3m springboard"
"24","OCAMPO MARROQUIN Jahir","MEX","307C","3.5","5.0","4.0","4.0","3.5","4.0","4.5","4.5","43.75","46","301.05","24","110.85","preliminary"," men's 3m springboard"
"24","OCAMPO MARROQUIN Jahir","MEX","5353B","3.3","6.5","6.5","7.0","6.5","6.0","6.5","5.5","64.35","30","365.40","24","122.10","preliminary"," men's 3m springboard"
"25","NEGLIA Donato","CHI","405B","3.0","7.5","7.0","6.5","6.0","7.0","6.5","7.0","61.50","=29","61.50","=29","13.30","preliminary"," men's 3m springboard"
"25","NEGLIA Donato","CHI","107B","3.1","7.0","6.5","6.5","5.5","6.0","6.0","7.0","58.90","31","120.40","30","30.90","preliminary"," men's 3m springboard"
"25","NEGLIA Donato","CHI","5154B","3.4","6.0","6.0","6.5","6.5","6.5","6.0","6.0","62.90","=24","183.30","26","55.50","preliminary"," men's 3m springboard"
"25","NEGLIA Donato","CHI","407C","3.4","5.5","5.0","6.5","5.5","5.5","6.5","6.0","57.80","28","241.10","26","79.60","preliminary"," men's 3m springboard"
"25","NEGLIA Donato","CHI","307C","3.5","7.5","7.0","6.0","7.5","6.5","6.0","6.5","70.00","12","311.10","21","100.80","preliminary"," men's 3m springboard"
"25","NEGLIA Donato","CHI","205B","3.0","5.0","5.5","5.0","6.0","6.0","6.0","6.0","52.50","44","363.60","25","123.90","preliminary"," men's 3m springboard"
